$d-08-24 13:05:44 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-24.html HTTP/1.1" 200 50672
$d-08-24 13:05:44 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:45 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-25.html HTTP/1.1" 200 51981
$d-08-24 13:05:45 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:45 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-26.html HTTP/1.1" 200 50512
$d-08-24 13:05:46 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:46 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-27.html HTTP/1.1" 200 51098
$d-08-24 13:05:46 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:47 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-28.html HTTP/1.1" 200 51441
$d-08-24 13:05:47 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:48 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-29.html HTTP/1.1" 200 50263
$d-08-24 13:05:48 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:48 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-30.html HTTP/1.1" 200 50600
$d-08-24 13:05:49 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:49 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-31.html HTTP/1.1" 200 50478
$d-08-24 13:05:49 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:50 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-32.html HTTP/1.1" 200 50631
$d-08-24 13:05:50 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:50 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-33.html HTTP/1.1" 200 51318
$d-08-24 13:05:51 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:51 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-34.html HTTP/1.1" 200 50846
$d-08-24 13:05:51 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:52 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-35.html HTTP/1.1" 200 50549
$d-08-24 13:05:52 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:52 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-36.html HTTP/1.1" 200 50701
$d-08-24 13:05:53 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:53 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-37.html HTTP/1.1" 200 50793
$d-08-24 13:05:53 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:54 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-38.html HTTP/1.1" 200 51639
$d-08-24 13:05:54 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:54 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-39.html HTTP/1.1" 200 50913
$d-08-24 13:05:55 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:55 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-40.html HTTP/1.1" 200 50516
$d-08-24 13:05:55 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:56 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-41.html HTTP/1.1" 200 50615
$d-08-24 13:05:56 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:57 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-42.html HTTP/1.1" 200 50726
$d-08-24 13:05:57 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:57 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-43.html HTTP/1.1" 200 50139
$d-08-24 13:05:57 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:58 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-44.html HTTP/1.1" 200 50142
$d-08-24 13:05:58 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:59 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-45.html HTTP/1.1" 200 50242
$d-08-24 13:05:59 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:05:59 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-46.html HTTP/1.1" 200 50424
$d-08-24 13:06:00 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:06:00 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-47.html HTTP/1.1" 200 50088
$d-08-24 13:06:00 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:06:01 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-48.html HTTP/1.1" 200 50056
$d-08-24 13:06:01 DEBUG   [connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-08-24 13:06:01 DEBUG   [connectionpool.py:557] https://books.toscrape.com:443 "GET /catalogue/page-49.html HTTP/1.1" 200 49909
$d-09-24 14:42:36 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:42:36 INFO     app.py:21] Loading books...
$d-09-24 14:42:36 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:42:36 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:47:21 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:47:21 INFO     app.py:21] Loading books...
$d-09-24 14:47:21 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:47:21 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:49:41 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:49:41 INFO     app.py:21] Loading books...
$d-09-24 14:49:41 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:49:42 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:51:36 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:51:36 INFO     app.py:21] Loading books...
$d-09-24 14:51:36 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:51:37 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:52:40 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:52:40 INFO     app.py:21] Loading books...
$d-09-24 14:52:40 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:52:40 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:54:39 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 14:54:39 INFO     app.py:21] Loading books...
$d-09-24 14:54:39 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 14:54:40 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:41 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:42 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:43 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 14:54:43 DEBUG    app.py:53] Creating AllBooks page from page content.
$d-09-24 15:01:09 DEBUG    selector_events.py:53] Using selector: KqueueSelector
$d-09-24 15:01:09 INFO     app.py:21] Loading books...
$d-09-24 15:01:09 DEBUG    connectionpool.py:1057] Starting new HTTPS connection (1): books.toscrape.com:443
$d-09-24 15:01:09 DEBUG    connectionpool.py:557] https://books.toscrape.com:443 "GET / HTTP/1.1" 200 51294
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
$d-09-24 15:01:10 DEBUG    api.py:440] Encoding detection: utf_8 is most likely the one.
